fecha;anio;mes;dia;hora;barra;tension;valor
01/12/2010;2010;12;1;1;CARDONES______220;220;165,1
01/12/2010;2010;12;1;2;CARDONES______220;220;165,1
01/12/2010;2010;12;1;3;CARDONES______220;220;165,1
01/12/2010;2010;12;1;4;CARDONES______220;220;165,1
01/12/2010;2010;12;1;5;CARDONES______220;220;165,1
01/12/2010;2010;12;1;6;CARDONES______220;220;165,1
01/12/2010;2010;12;1;7;CARDONES______220;220;165,1
01/12/2010;2010;12;1;8;CARDONES______220;220;165,1
01/12/2010;2010;12;1;9;CARDONES______220;220;173,4
01/12/2010;2010;12;1;10;CARDONES______220;220;173,4
01/12/2010;2010;12;1;11;CARDONES______220;220;173,4
01/12/2010;2010;12;1;12;CARDONES______220;220;173,4
01/12/2010;2010;12;1;13;CARDONES______220;220;173,4
01/12/2010;2010;12;1;14;CARDONES______220;220;173,4
01/12/2010;2010;12;1;15;CARDONES______220;220;173,4
01/12/2010;2010;12;1;16;CARDONES______220;220;173,4
01/12/2010;2010;12;1;17;CARDONES______220;220;173,4
01/12/2010;2010;12;1;18;CARDONES______220;220;173,4
01/12/2010;2010;12;1;19;CARDONES______220;220;175,2
01/12/2010;2010;12;1;20;CARDONES______220;220;175,2
01/12/2010;2010;12;1;21;CARDONES______220;220;175,2
01/12/2010;2010;12;1;22;CARDONES______220;220;175,2
01/12/2010;2010;12;1;23;CARDONES______220;220;175,2
01/12/2010;2010;12;1;24;CARDONES______220;220;175,2
02/12/2010;2010;12;2;1;CARDONES______220;220;165,9
02/12/2010;2010;12;2;2;CARDONES______220;220;165,9
02/12/2010;2010;12;2;3;CARDONES______220;220;165,9
02/12/2010;2010;12;2;4;CARDONES______220;220;165,9
02/12/2010;2010;12;2;5;CARDONES______220;220;165,9
02/12/2010;2010;12;2;6;CARDONES______220;220;165,9
02/12/2010;2010;12;2;7;CARDONES______220;220;165,9
02/12/2010;2010;12;2;8;CARDONES______220;220;185,0
02/12/2010;2010;12;2;9;CARDONES______220;220;199,6
02/12/2010;2010;12;2;10;CARDONES______220;220;199,6
02/12/2010;2010;12;2;11;CARDONES______220;220;199,6
02/12/2010;2010;12;2;12;CARDONES______220;220;199,6
02/12/2010;2010;12;2;13;CARDONES______220;220;199,6
02/12/2010;2010;12;2;14;CARDONES______220;220;199,6
02/12/2010;2010;12;2;15;CARDONES______220;220;199,6
02/12/2010;2010;12;2;16;CARDONES______220;220;199,6
02/12/2010;2010;12;2;17;CARDONES______220;220;199,6
02/12/2010;2010;12;2;18;CARDONES______220;220;199,6
02/12/2010;2010;12;2;19;CARDONES______220;220;201,4
02/12/2010;2010;12;2;20;CARDONES______220;220;201,4
02/12/2010;2010;12;2;21;CARDONES______220;220;201,4
02/12/2010;2010;12;2;22;CARDONES______220;220;201,4
02/12/2010;2010;12;2;23;CARDONES______220;220;195,8
02/12/2010;2010;12;2;24;CARDONES______220;220;175,4
03/12/2010;2010;12;3;1;CARDONES______220;220;192,5
03/12/2010;2010;12;3;2;CARDONES______220;220;202,1
03/12/2010;2010;12;3;3;CARDONES______220;220;202,6
03/12/2010;2010;12;3;4;CARDONES______220;220;202,6
03/12/2010;2010;12;3;5;CARDONES______220;220;202,6
03/12/2010;2010;12;3;6;CARDONES______220;220;202,6
03/12/2010;2010;12;3;7;CARDONES______220;220;202,6
03/12/2010;2010;12;3;8;CARDONES______220;220;202,6
03/12/2010;2010;12;3;9;CARDONES______220;220;212,5
03/12/2010;2010;12;3;10;CARDONES______220;220;212,5
03/12/2010;2010;12;3;11;CARDONES______220;220;212,5
03/12/2010;2010;12;3;12;CARDONES______220;220;201,5
03/12/2010;2010;12;3;13;CARDONES______220;220;192,5
03/12/2010;2010;12;3;14;CARDONES______220;220;192,5
03/12/2010;2010;12;3;15;CARDONES______220;220;202,5
03/12/2010;2010;12;3;16;CARDONES______220;220;206,1
03/12/2010;2010;12;3;17;CARDONES______220;220;198,8
03/12/2010;2010;12;3;18;CARDONES______220;220;198,8
03/12/2010;2010;12;3;19;CARDONES______220;220;208,6
03/12/2010;2010;12;3;20;CARDONES______220;220;209,1
03/12/2010;2010;12;3;21;CARDONES______220;220;210,0
03/12/2010;2010;12;3;22;CARDONES______220;220;210,0
03/12/2010;2010;12;3;23;CARDONES______220;220;210,0
